Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit
CA-2012-115742,2012-04-18,2012-04-22,Standard Class,DP-13000,FUR-FU-10001706,6.16,2,0.0,2.96
CA-2012-115742,2012-04-18,2012-04-22,Standard Class,DP-13000,FUR-CH-10003061,89.99,1,0.0,17.1
CA-2013-105816,2013-12-12,2013-12-18,Standard Class,JM-15265,OFF-FA-10000304,15.26,7,0.0,6.26
CA-2013-105816,2013-12-12,2013-12-18,Standard Class,JM-15265,TEC-PH-10002447,1029.95,5,0.0,298.69
CA-2013-111682,2013-06-18,2013-06-19,First Class,TB-21055,OFF-ST-10000604,208.56,6,0.0,52.14
CA-2013-111682,2013-06-18,2013-06-19,First Class,TB-21055,OFF-PA-10001569,32.4,5,0.0,15.55
CA-2013-111682,2013-06-18,2013-06-19,First Class,TB-21055,FUR-CH-10003968,319.41,5,0.1,7.1
CA-2013-111682,2013-06-18,2013-06-19,First Class,TB-21055,OFF-PA-10000587,14.56,2,0.0,6.99
CA-2013-111682,2013-06-18,2013-06-19,First Class,TB-21055,TEC-AC-10002167,30.0,2,0.0,3.3
CA-2013-111682,2013-06-18,2013-06-19,First Class,TB-21055,OFF-BI-10001460,48.48,4,0.2,16.36
CA-2013-111682,2013-06-18,2013-06-19,First Class,TB-21055,OFF-AR-10001868,1.68,1,0.0,0.84
CA-2012-135545,2012-11-24,2012-11-30,Standard Class,KM-16720,TEC-AC-10004633,13.98,2,0.0,6.15
CA-2012-135545,2012-11-24,2012-11-30,Standard Class,KM-16720,OFF-BI-10001078,25.82,6,0.2,9.36
CA-2012-135545,2012-11-24,2012-11-30,Standard Class,KM-16720,OFF-PA-10003892,146.73,3,0.0,68.96
CA-2012-135545,2012-11-24,2012-11-30,Standard Class,KM-16720,FUR-FU-10000397,79.76,4,0.0,22.33
US-2012-164175,2012-04-30,2012-05-05,Standard Class,PS-18970,FUR-CH-10001146,213.12,5,0.3,-15.22
CA-2011-106376,2011-12-05,2011-12-10,Standard Class,BS-11590,OFF-AR-10002671,1113.02,8,0.2,111.3
CA-2011-106376,2011-12-05,2011-12-10,Standard Class,BS-11590,TEC-PH-10002726,167.97,4,0.2,62.99
CA-2013-119823,2013-06-05,2013-06-07,First Class,KD-16270,OFF-PA-10000482,75.88,2,0.0,35.66
CA-2013-106075,2013-09-19,2013-09-24,Standard Class,HM-14980,OFF-BI-10004654,4.62,1,0.2,1.73
CA-2014-114440,2014-09-15,2014-09-18,Second Class,TB-21520,OFF-PA-10004675,19.05,3,0.0,8.76
US-2012-134026,2012-04-26,2012-05-02,Standard Class,JE-15745,FUR-CH-10000513,831.94,8,0.2,-114.39
US-2012-134026,2012-04-26,2012-05-02,Standard Class,JE-15745,FUR-FU-10003708,97.04,2,0.2,1.21
US-2012-134026,2012-04-26,2012-05-02,Standard Class,JE-15745,OFF-ST-10004123,72.78,1,0.2,-18.2
US-2014-118038,2014-12-10,2014-12-12,First Class,KB-16600,OFF-BI-10004182,1.25,3,0.8,-1.93
US-2014-118038,2014-12-10,2014-12-12,First Class,KB-16600,FUR-FU-10000260,9.71,3,0.6,-5.82
US-2014-118038,2014-12-10,2014-12-12,First Class,KB-16600,OFF-ST-10000615,27.24,3,0.2,2.72
US-2011-147606,2011-11-26,2011-12-01,Second Class,JE-15745,FUR-FU-10003194,19.3,5,0.6,-14.48
CA-2013-127208,2013-06-13,2013-06-16,First Class,SC-20770,OFF-AP-10002118,208.16,1,0.0,56.2
CA-2013-127208,2013-06-13,2013-06-16,First Class,SC-20770,OFF-BI-10002309,16.74,3,0.0,8.04
CA-2011-139451,2011-10-12,2011-10-16,Standard Class,DN-13690,OFF-AR-10002053,14.9,5,0.0,4.17
CA-2011-139451,2011-10-12,2011-10-16,Standard Class,DN-13690,OFF-ST-10002370,21.39,1,0.0,6.2
CA-2012-149734,2012-09-03,2012-09-08,Standard Class,JC-16105,OFF-EN-10000927,200.98,7,0.2,62.81
US-2014-119662,2014-11-14,2014-11-17,First Class,CS-12400,OFF-ST-10003656,230.38,3,0.2,-48.95
CA-2014-140088,2014-05-29,2014-05-31,Second Class,PO-18865,FUR-CH-10000863,301.96,2,0.0,33.22
CA-2014-155558,2014-10-27,2014-11-03,Standard Class,PG-18895,TEC-AC-10001998,19.99,1,0.0,6.8
CA-2014-155558,2014-10-27,2014-11-03,Standard Class,PG-18895,OFF-LA-10000134,6.16,2,0.0,2.96
CA-2013-159695,2013-04-06,2013-04-11,Second Class,GM-14455,OFF-ST-10003442,158.37,7,0.2,13.86
CA-2013-109806,2013-09-18,2013-09-23,Standard Class,JS-15685,OFF-AR-10004930,20.1,3,0.0,6.63
CA-2013-109806,2013-09-18,2013-09-23,Standard Class,JS-15685,TEC-PH-10004093,73.58,2,0.2,8.28
CA-2013-109806,2013-09-18,2013-09-23,Standard Class,JS-15685,OFF-PA-10000304,6.48,1,0.0,3.11
CA-2012-149587,2012-01-31,2012-02-05,Second Class,KB-16315,OFF-PA-10003177,12.96,2,0.0,6.22
CA-2012-149587,2012-01-31,2012-02-05,Second Class,KB-16315,FUR-FU-10003799,53.34,3,0.0,16.54
CA-2012-149587,2012-01-31,2012-02-05,Second Class,KB-16315,OFF-BI-10002852,32.96,2,0.0,16.15
US-2014-109484,2014-11-07,2014-11-13,Standard Class,RB-19705,OFF-BI-10004738,5.68,1,0.7,-3.79
CA-2014-161018,2014-11-10,2014-11-12,Second Class,PN-18775,FUR-FU-10000629,96.53,7,0.0,40.54
CA-2014-157833,2014-06-18,2014-06-21,First Class,KD-16345,OFF-BI-10001721,51.31,3,0.2,17.96
CA-2013-149223,2013-09-07,2013-09-12,Standard Class,ER-13855,OFF-AP-10000358,77.88,6,0.0,22.59
CA-2013-158568,2013-08-30,2013-09-03,Standard Class,RB-19465,OFF-PA-10003256,64.62,7,0.2,22.62
CA-2013-158568,2013-08-30,2013-09-03,Standard Class,RB-19465,TEC-AC-10001767,95.98,3,0.2,-10.8
CA-2013-158568,2013-08-30,2013-09-03,Standard Class,RB-19465,OFF-BI-10002609,1.79,3,0.8,-3.04
CA-2013-129903,2013-12-02,2013-12-05,Second Class,GZ-14470,OFF-PA-10004040,23.92,4,0.0,11.72
US-2012-156867,2012-11-13,2012-11-17,Standard Class,LC-16870,TEC-AC-10001552,238.9,6,0.2,-26.88
US-2012-156867,2012-11-13,2012-11-17,Standard Class,LC-16870,FUR-FU-10004006,102.36,3,0.2,-3.84
US-2012-156867,2012-11-13,2012-11-17,Standard Class,LC-16870,OFF-BI-10002794,36.88,3,0.7,-25.82
CA-2014-119004,2014-11-24,2014-11-29,Standard Class,JM-15250,TEC-AC-10003499,74.11,8,0.2,17.6
CA-2014-119004,2014-11-24,2014-11-29,Standard Class,JM-15250,TEC-PH-10002844,27.99,1,0.2,2.1
CA-2014-119004,2014-11-24,2014-11-29,Standard Class,JM-15250,OFF-AR-10000390,3.3,1,0.2,1.07
CA-2012-129476,2012-10-15,2012-10-20,Standard Class,PA-19060,TEC-AC-10000844,339.96,5,0.2,67.99
CA-2014-146780,2014-12-26,2014-12-31,Standard Class,CV-12805,FUR-FU-10001934,41.96,2,0.0,10.91
CA-2013-128867,2013-11-04,2013-11-11,Standard Class,CL-12565,OFF-AR-10000380,75.96,2,0.0,22.79
CA-2013-128867,2013-11-04,2013-11-11,Standard Class,CL-12565,OFF-BI-10003981,27.24,6,0.0,13.35
CA-2011-115259,2011-08-25,2011-08-27,Second Class,RC-19960,OFF-FA-10000621,40.1,14,0.2,14.53
CA-2011-115259,2011-08-25,2011-08-27,Second Class,RC-19960,OFF-EN-10002600,4.72,2,0.2,1.65
CA-2011-115259,2011-08-25,2011-08-27,Second Class,RC-19960,OFF-PA-10004965,23.98,3,0.2,7.49
CA-2011-115259,2011-08-25,2011-08-27,Second Class,RC-19960,OFF-EN-10002504,130.46,6,0.2,44.03
CA-2012-110457,2012-03-02,2012-03-06,Standard Class,DK-13090,FUR-TA-10001768,787.53,3,0.0,165.38
US-2012-136476,2012-04-05,2012-04-10,Standard Class,GG-14650,OFF-BI-10003650,157.79,1,0.7,-115.72
CA-2013-103730,2013-06-13,2013-06-16,First Class,SC-20725,FUR-FU-10002157,47.04,3,0.0,18.35
CA-2013-103730,2013-06-13,2013-06-16,First Class,SC-20725,OFF-BI-10003910,30.84,4,0.0,13.88
CA-2013-103730,2013-06-13,2013-06-16,First Class,SC-20725,OFF-ST-10000777,226.56,6,0.0,63.44
CA-2013-103730,2013-06-13,2013-06-16,First Class,SC-20725,OFF-EN-10002500,115.02,9,0.0,51.76
CA-2013-103730,2013-06-13,2013-06-16,First Class,SC-20725,TEC-PH-10003875,68.04,7,0.0,19.73
US-2011-152030,2011-12-26,2011-12-28,Second Class,AD-10180,FUR-CH-10004063,600.56,3,0.3,-8.58
US-2011-134614,2011-09-20,2011-09-25,Standard Class,PF-19165,FUR-TA-10004534,617.7,6,0.5,-407.68
US-2014-107272,2014-11-06,2014-11-13,Standard Class,TS-21610,OFF-BI-10003274,2.39,2,0.7,-1.83
US-2014-107272,2014-11-06,2014-11-13,Standard Class,TS-21610,OFF-ST-10002974,243.99,7,0.2,30.5
US-2013-125969,2013-11-07,2013-11-11,Second Class,LS-16975,FUR-CH-10001146,81.42,2,0.2,-9.16
US-2013-125969,2013-11-07,2013-11-11,Second Class,LS-16975,FUR-FU-10003773,238.56,3,0.0,26.24
US-2014-164147,2014-02-03,2014-02-06,First Class,DW-13585,TEC-PH-10002293,59.97,5,0.4,-11.99
US-2014-164147,2014-02-03,2014-02-06,First Class,DW-13585,OFF-PA-10002377,78.3,2,0.2,29.36
US-2014-164147,2014-02-03,2014-02-06,First Class,DW-13585,OFF-FA-10002780,21.46,9,0.2,6.97
CA-2013-145583,2013-10-14,2013-10-20,Standard Class,LC-16885,OFF-PA-10001804,20.04,3,0.0,9.62
CA-2013-145583,2013-10-14,2013-10-20,Standard Class,LC-16885,OFF-PA-10001736,35.44,1,0.0,16.66
CA-2013-145583,2013-10-14,2013-10-20,Standard Class,LC-16885,OFF-AR-10001149,11.52,4,0.0,3.46
CA-2013-145583,2013-10-14,2013-10-20,Standard Class,LC-16885,OFF-FA-10002988,4.02,2,0.0,1.97
CA-2013-145583,2013-10-14,2013-10-20,Standard Class,LC-16885,OFF-BI-10004781,76.18,3,0.2,26.66
CA-2013-145583,2013-10-14,2013-10-20,Standard Class,LC-16885,OFF-SU-10001218,65.88,6,0.0,18.45
CA-2013-145583,2013-10-14,2013-10-20,Standard Class,LC-16885,FUR-FU-10001706,43.12,14,0.0,20.7
CA-2013-110366,2013-09-06,2013-09-08,Second Class,JD-15895,FUR-FU-10004848,82.8,2,0.2,10.35
CA-2014-106180,2014-09-19,2014-09-24,Standard Class,SH-19975,OFF-AR-10000940,8.82,3,0.0,2.38
CA-2014-106180,2014-09-19,2014-09-24,Standard Class,SH-19975,OFF-EN-10004030,10.86,3,0.0,5.1
CA-2014-106180,2014-09-19,2014-09-24,Standard Class,SH-19975,OFF-PA-10004327,143.7,3,0.0,68.98
CA-2014-155376,2014-12-23,2014-12-28,Standard Class,SG-20080,OFF-AP-10001058,839.43,3,0.0,218.25
CA-2012-110744,2012-09-07,2012-09-12,Standard Class,HA-14920,OFF-ST-10003656,671.93,7,0.0,20.16
CA-2011-110072,2011-10-22,2011-10-28,Standard Class,MG-17680,FUR-FU-10000521,93.89,4,0.2,12.91
CA-2013-114489,2013-12-06,2013-12-10,Standard Class,JE-16165,TEC-PH-10000215,384.45,11,0.0,103.8
CA-2013-114489,2013-12-06,2013-12-10,Standard Class,JE-16165,TEC-PH-10001448,149.97,3,0.0,6.0
CA-2013-114489,2013-12-06,2013-12-10,Standard Class,JE-16165,FUR-CH-10000454,1951.84,8,0.0,585.55
CA-2013-114489,2013-12-06,2013-12-10,Standard Class,JE-16165,OFF-BI-10002735,171.55,5,0.0,80.63
CA-2013-158834,2013-03-14,2013-03-17,First Class,TW-21025,OFF-AP-10000326,157.92,5,0.2,17.77
CA-2013-158834,2013-03-14,2013-03-17,First Class,TW-21025,TEC-PH-10001254,203.18,2,0.2,15.24
CA-2012-124919,2012-05-31,2012-06-02,First Class,SP-20650,OFF-PA-10001950,58.38,7,0.0,26.27
CA-2012-124919,2012-05-31,2012-06-02,First Class,SP-20650,OFF-PA-10002254,105.52,4,0.0,48.54
CA-2012-124919,2012-05-31,2012-06-02,First Class,SP-20650,OFF-ST-10001590,80.88,6,0.0,21.03
CA-2012-118948,2012-05-28,2012-06-03,Standard Class,NK-18490,OFF-AR-10001547,6.63,3,0.0,1.79
CA-2011-104269,2011-03-01,2011-03-06,Second Class,DB-13060,FUR-CH-10004063,457.57,2,0.2,51.48
CA-2013-114104,2013-11-21,2013-11-25,Standard Class,NP-18670,OFF-LA-10002475,14.62,2,0.0,6.87
CA-2013-114104,2013-11-21,2013-11-25,Standard Class,NP-18670,TEC-PH-10004536,944.93,7,0.0,236.23
CA-2013-162733,2013-05-12,2013-05-13,First Class,TT-21070,OFF-PA-10002751,5.98,1,0.0,2.69
CA-2012-119697,2012-12-28,2012-12-31,Second Class,EM-13960,TEC-AC-10003657,54.38,2,0.2,1.36
CA-2013-154508,2013-11-17,2013-11-21,Standard Class,RD-19900,OFF-EN-10001990,28.4,5,0.0,13.35
CA-2013-113817,2013-11-08,2013-11-12,Standard Class,MJ-17740,OFF-BI-10004002,27.68,2,0.2,9.69
CA-2011-139892,2011-09-08,2011-09-12,Standard Class,BM-11140,OFF-AR-10004441,9.94,3,0.2,2.73
CA-2011-139892,2011-09-08,2011-09-12,Standard Class,BM-11140,TEC-MA-10000822,8159.95,8,0.4,-1359.99
CA-2011-139892,2011-09-08,2011-09-12,Standard Class,BM-11140,OFF-ST-10000991,275.93,3,0.2,-58.63
CA-2011-139892,2011-09-08,2011-09-12,Standard Class,BM-11140,FUR-CH-10004287,1740.06,9,0.3,-24.86
CA-2011-139892,2011-09-08,2011-09-12,Standard Class,BM-11140,OFF-AR-10002656,32.06,6,0.2,6.81
CA-2011-139892,2011-09-08,2011-09-12,Standard Class,BM-11140,OFF-AP-10002518,177.98,5,0.8,-453.85
CA-2011-139892,2011-09-08,2011-09-12,Standard Class,BM-11140,TEC-PH-10003931,143.98,3,0.2,9.0
CA-2011-118962,2011-08-05,2011-08-09,Standard Class,CS-12130,OFF-PA-10000659,20.94,3,0.0,9.84
CA-2011-118962,2011-08-05,2011-08-09,Standard Class,CS-12130,OFF-PA-10001144,110.96,2,0.0,53.26
CA-2011-118962,2011-08-05,2011-08-09,Standard Class,CS-12130,FUR-CH-10003817,340.14,7,0.2,21.26
US-2011-100853,2011-09-14,2011-09-19,Standard Class,JB-15400,OFF-AP-10000891,52.45,2,0.8,-131.12
US-2011-100853,2011-09-14,2011-09-19,Standard Class,JB-15400,OFF-LA-10003148,20.16,4,0.2,6.55
US-2014-152366,2014-04-22,2014-04-26,Second Class,SJ-20500,OFF-AP-10002684,97.26,4,0.8,-243.16
US-2012-101511,2012-11-21,2012-11-23,Second Class,JE-15745,FUR-CH-10004698,396.8,7,0.3,-11.34
US-2012-101511,2012-11-21,2012-11-23,Second Class,JE-15745,OFF-SU-10002189,15.88,5,0.2,-3.77
CA-2012-137225,2012-12-15,2012-12-19,Standard Class,JK-15640,OFF-AR-10001940,3.28,1,0.0,1.41
CA-2011-166191,2011-12-05,2011-12-09,Second Class,DK-13150,OFF-ST-10003455,24.82,2,0.2,1.86
CA-2011-166191,2011-12-05,2011-12-09,Second Class,DK-13150,TEC-AC-10004659,408.74,7,0.2,76.64
CA-2011-158274,2011-11-19,2011-11-24,Second Class,RM-19675,TEC-PH-10003273,503.96,4,0.0,131.03
CA-2011-158274,2011-11-19,2011-11-24,Second Class,RM-19675,TEC-PH-10004896,149.95,5,0.0,41.99
CA-2011-158274,2011-11-19,2011-11-24,Second Class,RM-19675,TEC-AC-10002345,29.0,2,0.0,7.25
CA-2013-105018,2013-11-29,2013-12-03,Standard Class,SK-19990,OFF-BI-10001890,7.16,2,0.0,3.44
CA-2011-123260,2011-08-26,2011-08-30,Standard Class,FM-14290,TEC-AC-10002323,176.8,8,0.0,22.98
CA-2013-157000,2013-07-17,2013-07-23,Standard Class,AM-10360,OFF-ST-10001328,37.22,3,0.2,3.72
CA-2013-157000,2013-07-17,2013-07-23,Standard Class,AM-10360,OFF-PA-10001950,20.02,3,0.2,6.26
CA-2012-102281,2012-10-12,2012-10-14,First Class,MP-17470,FUR-BO-10002613,899.14,4,0.2,112.39
CA-2012-102281,2012-10-12,2012-10-14,First Class,MP-17470,TEC-PH-10001552,71.76,6,0.0,20.09
CA-2012-102281,2012-10-12,2012-10-14,First Class,MP-17470,OFF-PA-10000061,51.84,8,0.0,24.88
CA-2012-102281,2012-10-12,2012-10-14,First Class,MP-17470,FUR-BO-10002545,626.35,3,0.2,46.98
CA-2012-102281,2012-10-12,2012-10-14,First Class,MP-17470,OFF-AR-10003514,19.9,5,0.0,6.57
CA-2012-131457,2012-10-31,2012-11-06,Standard Class,MZ-17515,OFF-EN-10001509,14.28,7,0.0,6.71
CA-2011-140004,2011-03-21,2011-03-25,Standard Class,CB-12025,OFF-AR-10004685,7.41,2,0.2,1.2
CA-2011-140004,2011-03-21,2011-03-25,Standard Class,CB-12025,OFF-AR-10004027,6.05,3,0.2,1.59
CA-2014-107720,2014-11-07,2014-11-14,Standard Class,VM-21685,OFF-ST-10001414,46.26,3,0.0,12.03
US-2014-124303,2014-07-07,2014-07-14,Standard Class,FH-14365,OFF-BI-10000343,2.95,2,0.7,-2.26
US-2014-124303,2014-07-07,2014-07-14,Standard Class,FH-14365,OFF-PA-10002749,16.06,3,0.2,5.82
CA-2014-105074,2014-06-25,2014-06-30,Standard Class,MB-17305,OFF-PA-10002666,21.74,3,0.2,6.8
CA-2011-133690,2011-08-03,2011-08-05,First Class,BS-11755,FUR-TA-10004289,218.75,2,0.5,-161.88
CA-2011-133690,2011-08-03,2011-08-05,First Class,BS-11755,OFF-AP-10003622,2.6,1,0.2,0.29
US-2014-116701,2014-12-18,2014-12-22,Second Class,LC-17140,OFF-AP-10003217,66.28,2,0.8,-178.97
CA-2014-126382,2014-06-04,2014-06-08,Standard Class,HK-14890,FUR-FU-10002960,35.17,7,0.2,9.67
CA-2014-108329,2014-12-10,2014-12-15,Standard Class,LE-16810,TEC-PH-10001918,444.77,4,0.2,44.48
CA-2014-135860,2014-12-02,2014-12-08,Standard Class,JH-15985,OFF-ST-10000642,83.92,4,0.0,5.87
CA-2014-135860,2014-12-02,2014-12-08,Standard Class,JH-15985,TEC-PH-10001700,131.98,2,0.0,35.63
CA-2014-135860,2014-12-02,2014-12-08,Standard Class,JH-15985,OFF-BI-10003274,15.92,4,0.0,7.48
CA-2014-135860,2014-12-02,2014-12-08,Standard Class,JH-15985,OFF-FA-10000134,52.29,9,0.0,16.21
CA-2014-135860,2014-12-02,2014-12-08,Standard Class,JH-15985,OFF-ST-10001522,91.99,1,0.0,3.68
CA-2012-101007,2012-02-09,2012-02-13,Second Class,MS-17980,TEC-AC-10001266,20.8,2,0.2,6.5
CA-2012-146262,2012-01-02,2012-01-09,Standard Class,VW-21775,OFF-LA-10004544,23.68,2,0.2,8.88
CA-2012-146262,2012-01-02,2012-01-09,Standard Class,VW-21775,FUR-BO-10004695,452.45,5,0.5,-244.32
CA-2012-146262,2012-01-02,2012-01-09,Standard Class,VW-21775,TEC-PH-10002844,62.98,3,0.4,-14.7
CA-2012-146262,2012-01-02,2012-01-09,Standard Class,VW-21775,TEC-MA-10000864,1188.0,9,0.7,-950.4
CA-2012-146262,2012-01-02,2012-01-09,Standard Class,VW-21775,TEC-AC-10000109,89.58,2,0.2,4.48
CA-2013-130162,2013-10-29,2013-11-02,Standard Class,JH-15910,OFF-ST-10001328,93.06,6,0.0,26.06
CA-2013-130162,2013-10-29,2013-11-02,Standard Class,JH-15910,TEC-PH-10002563,302.38,3,0.2,22.68
CA-2012-169397,2012-12-24,2012-12-27,First Class,JB-15925,OFF-FA-10000585,5.58,2,0.2,1.81
CA-2012-169397,2012-12-24,2012-12-27,First Class,JB-15925,OFF-PA-10004000,22.7,6,0.2,8.23
CA-2012-169397,2012-12-24,2012-12-27,First Class,JB-15925,OFF-BI-10002852,19.78,4,0.7,-13.84
CA-2012-169397,2012-12-24,2012-12-27,First Class,JB-15925,FUR-FU-10000087,72.7,4,0.2,19.08
CA-2012-169397,2012-12-24,2012-12-27,First Class,JB-15925,TEC-MA-10001148,479.99,4,0.7,-383.99
CA-2012-169397,2012-12-24,2012-12-27,First Class,JB-15925,OFF-AR-10001958,27.17,2,0.2,2.72
CA-2012-163055,2012-08-09,2012-08-16,Standard Class,DS-13180,OFF-AR-10001026,2.2,1,0.0,0.97
CA-2012-163055,2012-08-09,2012-08-16,Standard Class,DS-13180,FUR-TA-10003748,622.45,5,0.0,136.94
CA-2012-163055,2012-08-09,2012-08-16,Standard Class,DS-13180,OFF-ST-10002485,21.98,1,0.0,0.22
US-2012-145436,2012-02-28,2012-03-04,Standard Class,VD-21670,FUR-CH-10004860,161.57,2,0.2,-28.27
US-2012-145436,2012-02-28,2012-03-04,Standard Class,VD-21670,FUR-CH-10004477,389.7,8,0.2,43.84
US-2011-156216,2011-09-13,2011-09-17,Standard Class,EA-14035,OFF-BI-10001679,18.65,7,0.7,-12.43
US-2014-100930,2014-04-08,2014-04-13,Standard Class,CS-12400,FUR-TA-10001705,233.86,2,0.45,-102.05
US-2014-100930,2014-04-08,2014-04-13,Standard Class,CS-12400,FUR-TA-10003473,620.61,3,0.45,-248.25
